ID,salary,salarydate,employee_ID,status
saaaaaaa1-0000-0000-0000-000000000001,45000,2025-01-31,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1,A
saaaaaaa2-0000-0000-0000-000000000002,46000,2025-02-28,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1,P
saaaaaaa3-0000-0000-0000-000000000003,47000,2025-03-31,aaaaaaa1-aaaa-aaaa-aaaa-aaaaaaaaaaa1,R
saaaaaaa4-0000-0000-0000-000000000004,42000,2025-01-31,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2,A
saaaaaaa5-0000-0000-0000-000000000005,43000,2025-02-28,aaaaaaa2-aaaa-aaaa-aaaa-aaaaaaaaaaa2,P
sbbbbbbb1-0000-0000-0000-000000000001,52000,2025-01-31,bbbbbbb1-bbbb-bbbb-bbbb-bbbbbbbbbbb1,R
sbbbbbbb2-0000-0000-0000-000000000002,52500,2025-02-28,bbbbbbb1-bbbb-bbbb-bbbb-bbbbbbbbbbb1,A
sbbbbbbb3-0000-0000-0000-000000000003,53000,2025-03-31,bbbbbbb1-bbbb-bbbb-bbbb-bbbbbbbbbbb1,P
sbbbbbbb4-0000-0000-0000-000000000004,49000,2025-01-31,bbbbbbb2-bbbb-bbbb-bbbb-bbbbbbbbbbb2,R
sbbbbbbb5-0000-0000-0000-000000000005,50000,2025-02-28,bbbbbbb2-bbbb-bbbb-bbbb-bbbbbbbbbbb2,A
sccccccc1-0000-0000-0000-000000000001,60000,2025-01-31,ccccccc1-cccc-cccc-cccc-ccccccccccc1,P
sccccccc2-0000-0000-0000-000000000002,60500,2025-02-28,ccccccc1-cccc-cccc-cccc-ccccccccccc1,R
sccccccc3-0000-0000-0000-000000000003,61000,2025-03-31,ccccccc1-cccc-cccc-cccc-ccccccccccc1,A
sccccccc4-0000-0000-0000-000000000004,48000,2025-01-31,ccccccc2-cccc-cccc-cccc-ccccccccccc2,P
sccccccc5-0000-0000-0000-000000000005,49000,2025-02-28,ccccccc2-cccc-cccc-cccc-ccccccccccc2,R
sddddddd1-0000-0000-0000-000000000001,53000,2025-01-31,ddddddd1-dddd-dddd-dddd-ddddddddddd1,A
seeeeeee1-0000-0000-0000-000000000001,62000,2025-01-31,eeeeeee1-eeee-eeee-eeee-eeeeeeeeeee1,P
sffffff1-0000-0000-0000-000000000001,41000,2025-01-31,ffffff1-ffff-ffff-ffff-fffffffffff1,R
sggggggg1-0000-0000-0000-000000000001,58000,2025-01-31,ggggggg1-gggg-gggg-gggg-ggggggggggg1,A
shhhhhhh1-0000-0000-0000-000000000001,47000,2025-01-31,hhhhhhh1-hhhh-hhhh-hhhh-hhhhhhhhhhh1,P
